id,hand,hand_meaning,family,family_v1,evidence,production_claim,v,f,t,url
2100409794276520341,B,"benchmark, test, shadow run or one-off job (often on production data)",search_rerank_extraction,search_rerank_extraction,demo_no_numbers,False,242540,686,,https://x.com/h_nilforoshan/status/2100409794276520341
2100973868324417852,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,search_rerank_extraction,measured_demo,True,230389,3320,,https://x.com/nedwize/status/2100973868324417852
2101988970565603489,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,False,131760,666,,https://x.com/jasonzhou1993/status/2101988970565603489
2100437998571860087,P,"production with numbers from a live system with users, customers or traffic",moderation_and_guardrails,moderation_and_guardrails,measured_demo,False,82296,925,,https://x.com/grichadev/status/2100437998571860087
2100929105382564113,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,False,69102,881,,https://x.com/IndraVahan/status/2100929105382564113
2101670746883768607,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,False,65660,27,,https://x.com/adriancortexbt/status/2101670746883768607
2100468943853085061,P,"production with numbers from a live system with users, customers or traffic",agent_harness_and_tool_gating,agent_harness_and_tool_gating,measured_production,True,62200,1492,,https://x.com/kunchenguid/status/2100468943853085061
2101265909826609278,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,False,58987,711,,https://x.com/HamonPaulm/status/2101265909826609278
2101156068814667942,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,False,55440,209,,https://x.com/oragnes/status/2101156068814667942
2101090579127951694,P,"production with numbers from a live system with users, customers or traffic",data_and_telemetry,search_rerank_extraction,measured_demo,True,46894,663,,https://x.com/irabukht/status/2101090579127951694
2100987661926252737,P,"production with numbers from a live system with users, customers or traffic",agent_harness_and_tool_gating,agent_harness_and_tool_gating,measured_demo,True,31564,159,,https://x.com/johnyeo_/status/2100987661926252737
2101293998879150566,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,20602,10,,https://x.com/yutosuzuki/status/2101293998879150566
2101348194542084116,P,"production with numbers from a live system with users, customers or traffic",search_rerank_extraction,data_and_telemetry,measured_demo,False,16968,300,,https://x.com/WillDobrev/status/2101348194542084116
2101206586882720140,U,personal use by the author only,classification_routing_triage,classification_routing_triage,measured_demo,True,16483,107,,https://x.com/claudecode84/status/2101206586882720140
2102066232383979749,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,data_and_telemetry,measured_demo,False,14502,159,,https://x.com/omarsar0/status/2102066232383979749
2100611468580323414,P,"production with numbers from a live system with users, customers or traffic",agent_harness_and_tool_gating,classification_routing_triage,measured_demo,True,14469,66,,https://x.com/LxKus/status/2100611468580323414
2101241236107542549,B,"benchmark, test, shadow run or one-off job (often on production data)",other_or_meta,other_or_meta,demo_no_numbers,True,12624,19,,https://x.com/yonyoniz/status/2101241236107542549
2100489521557123265,P,"production with numbers from a live system with users, customers or traffic",other_or_meta,classification_routing_triage,measured_demo,True,10421,108,,https://x.com/illyism/status/2100489521557123265
2100833556469833867,P,"production with numbers from a live system with users, customers or traffic",other_or_meta,other_or_meta,measured_production,True,9811,42,,https://x.com/waynesutton/status/2100833556469833867
2101389998608281849,B,"benchmark, test, shadow run or one-off job (often on production data)",search_rerank_extraction,search_rerank_extraction,measured_demo,False,6943,23,,https://x.com/stas_sorokin_/status/2101389998608281849
2101087134459306356,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,True,5202,29,,https://x.com/romanbuildsaas/status/2101087134459306356
2102090111198363988,P,"production with numbers from a live system with users, customers or traffic",data_and_telemetry,data_and_telemetry,measured_demo,True,4445,18,,https://x.com/dsqjaffa/status/2102090111198363988
2102025726610325833,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,False,3867,61,,https://x.com/velesxbt/status/2102025726610325833
2102196455289335872,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,agent_harness_and_tool_gating,measured_demo,False,3777,51,,https://x.com/fujibee/status/2102196455289335872
2101751414360092885,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,3221,26,,https://x.com/ibocodes/status/2101751414360092885
2100907300932219347,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_production,True,3172,49,,https://x.com/iam4x/status/2100907300932219347
2102381883107487989,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,demo_no_numbers,True,2691,27,,https://x.com/Shpigford/status/2102381883107487989
2101762765664968743,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,False,2087,15,,https://x.com/priya_kamdar/status/2101762765664968743
2100993782619754610,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,False,2033,12,,https://x.com/model3yokohama/status/2100993782619754610
2102199555706024144,P,"production with numbers from a live system with users, customers or traffic",other_or_meta,other_or_meta,measured_production,True,1992,18,,https://x.com/robherley/status/2102199555706024144
2100881974780993668,P,"production with numbers from a live system with users, customers or traffic",search_rerank_extraction,search_rerank_extraction,measured_demo,True,1667,52,,https://x.com/neural_avb/status/2100881974780993668
2100345229702565917,U,personal use by the author only,classification_routing_triage,classification_routing_triage,measured_demo,False,1442,26,,https://x.com/adamhjk/status/2100345229702565917
2101870472883487045,P,"production with numbers from a live system with users, customers or traffic",search_rerank_extraction,search_rerank_extraction,demo_no_numbers,True,1188,13,,https://x.com/souzou_office/status/2101870472883487045
2101794949192659273,P,"production with numbers from a live system with users, customers or traffic",agent_harness_and_tool_gating,agent_harness_and_tool_gating,measured_production,True,1038,23,,https://x.com/BLUECOW009/status/2101794949192659273
2102383372303577259,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,1015,13,,https://x.com/tarasshyn/status/2102383372303577259
2101724539956711891,B,"benchmark, test, shadow run or one-off job (often on production data)",agent_harness_and_tool_gating,compaction_and_context,measured_demo,False,996,14,,https://x.com/woody_research/status/2101724539956711891
2101021128156201288,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,demo_no_numbers,True,987,9,,https://x.com/homeservicebase/status/2101021128156201288
2101131448636023058,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,False,768,18,,https://x.com/nicky_sap/status/2101131448636023058
2102305365459394658,X,not Jev (local clone),moderation_and_guardrails,moderation_and_guardrails,measured_demo,True,763,3,,https://x.com/llqoli/status/2102305365459394658
2101619546528580077,P,"production with numbers from a live system with users, customers or traffic",other_or_meta,agent_harness_and_tool_gating,measured_demo,False,743,1,,https://x.com/SSSS_CRYPTOMAN/status/2101619546528580077
2102532930962850249,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,669,18,,https://x.com/ajeebtech/status/2102532930962850249
2102052707024466181,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,True,510,12,,https://x.com/0xKaspie/status/2102052707024466181
2100743688628683228,B,"benchmark, test, shadow run or one-off job (often on production data)",other_or_meta,other_or_meta,measured_demo,False,460,4,,https://x.com/cmgriffing/status/2100743688628683228
2101081490603786358,P,"production with numbers from a live system with users, customers or traffic",moderation_and_guardrails,moderation_and_guardrails,demo_no_numbers,True,459,5,,https://x.com/ethereumdegen/status/2101081490603786358
2100900967990354130,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,True,412,7,,https://x.com/hello_sugimoto/status/2100900967990354130
2101059796049010892,B,"benchmark, test, shadow run or one-off job (often on production data)",other_or_meta,other_or_meta,measured_demo,False,377,5,,https://x.com/cmgriffing/status/2101059796049010892
2101315927593648436,P,"production with numbers from a live system with users, customers or traffic",agent_harness_and_tool_gating,agent_harness_and_tool_gating,measured_production,True,347,1,,https://x.com/FloRyRy410/status/2101315927593648436
2102374855022883293,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,False,319,5,,https://x.com/LordMarket22/status/2102374855022883293
2100917533083587040,B,"benchmark, test, shadow run or one-off job (often on production data)",other_or_meta,classification_routing_triage,measured_demo,False,310,5,,https://x.com/apagut/status/2100917533083587040
2101335377671782901,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,False,257,8,,https://x.com/hochulambo/status/2101335377671782901
2101746374798606715,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,209,1,,https://x.com/almalimir/status/2101746374798606715
2101383497403302125,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,False,203,2,,https://x.com/RohanArun/status/2101383497403302125
2100405762493497479,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,158,1,,https://x.com/rbkayz/status/2100405762493497479
2102001356886176123,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,False,129,0,,https://x.com/charles__seo/status/2102001356886176123
2101039552408219676,P,"production with numbers from a live system with users, customers or traffic",moderation_and_guardrails,moderation_and_guardrails,measured_demo,True,126,1,,https://x.com/squishguin/status/2101039552408219676
2101539272298057825,U,personal use by the author only,trading_and_markets,trading_and_markets,measured_demo,False,113,1,,https://x.com/OctoOnItsOwn/status/2101539272298057825
2101782199502565726,U,personal use by the author only,classification_routing_triage,classification_routing_triage,measured_demo,False,107,1,,https://x.com/AlexeyTutaeMeia/status/2101782199502565726
2100927192343413104,P,"production with numbers from a live system with users, customers or traffic",other_or_meta,other_or_meta,measured_demo,False,103,1,,https://x.com/petrroyce/status/2100927192343413104
2100590289521951094,B,"benchmark, test, shadow run or one-off job (often on production data)",agent_harness_and_tool_gating,classification_routing_triage,measured_demo,True,97,1,,https://x.com/dmnpop/status/2100590289521951094
2100503377146958170,U,personal use by the author only,not_a_jev_build,agent_harness_and_tool_gating,measured_demo,False,88,1,,https://x.com/0xadarshmishra/status/2100503377146958170
2101000072062222802,P,"production with numbers from a live system with users, customers or traffic",agent_harness_and_tool_gating,agent_harness_and_tool_gating,measured_production,True,81,0,,https://x.com/geisbruch/status/2101000072062222802
2100937350557978745,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,False,80,0,,https://x.com/gakutarou_pmf/status/2100937350557978745
2101548620671746202,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,72,1,,https://x.com/buddypia/status/2101548620671746202
2101418098746376327,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,demo_no_numbers,True,69,1,,https://x.com/0xsodiek/status/2101418098746376327
2101174472396955967,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,False,68,0,,https://x.com/Jasper_Black/status/2101174472396955967
2100996125272740219,B,"benchmark, test, shadow run or one-off job (often on production data)",agent_harness_and_tool_gating,agent_harness_and_tool_gating,measured_production,True,61,0,,https://x.com/alviso/status/2100996125272740219
2101322376159822333,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_production,True,58,0,,https://x.com/alexzender/status/2101322376159822333
2101992213819568393,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,True,55,0,,https://x.com/Flylocus/status/2101992213819568393
2101029196713914490,B,"benchmark, test, shadow run or one-off job (often on production data)",moderation_and_guardrails,moderation_and_guardrails,measured_demo,False,53,0,,https://x.com/robertoamoreno/status/2101029196713914490
2102064901371871574,U,personal use by the author only,moderation_and_guardrails,moderation_and_guardrails,measured_demo,True,52,3,,https://x.com/emredsgn/status/2102064901371871574
2101365774073868746,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,demo_no_numbers,True,52,2,,https://x.com/dopiotrek/status/2101365774073868746
2102208977849536805,T,"trading with the author own money, or a promo",trading_and_markets,trading_and_markets,measured_demo,False,51,0,,https://x.com/vwapster/status/2102208977849536805
2101362143148843182,P,"production with numbers from a live system with users, customers or traffic",data_and_telemetry,data_and_telemetry,measured_demo,True,50,4,,https://x.com/Suchintan/status/2101362143148843182
2100691943348949389,P,"production with numbers from a live system with users, customers or traffic",data_and_telemetry,data_and_telemetry,demo_no_numbers,False,50,2,,https://x.com/massivebrains00/status/2100691943348949389
2101392975712416011,B,"benchmark, test, shadow run or one-off job (often on production data)",agent_harness_and_tool_gating,agent_harness_and_tool_gating,measured_demo,False,49,0,,https://x.com/ipriyanshu12/status/2101392975712416011
2101327161042895250,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,True,46,1,,https://x.com/matt_feroz/status/2101327161042895250
2100922048096915565,B,"benchmark, test, shadow run or one-off job (often on production data)",evals_and_judging,evals_and_judging,measured_demo,False,37,1,,https://x.com/monaal_sanghvi/status/2100922048096915565
2102332190986248294,P,"production with numbers from a live system with users, customers or traffic",classification_routing_triage,classification_routing_triage,measured_demo,False,31,2,,https://x.com/Matyas_Jirsa/status/2102332190986248294
2101788000388583453,P,"production with numbers from a live system with users, customers or traffic",search_rerank_extraction,search_rerank_extraction,measured_demo,True,31,0,,https://x.com/arasmehe/status/2101788000388583453
2101611835594354958,P,"production with numbers from a live system with users, customers or traffic",moderation_and_guardrails,moderation_and_guardrails,measured_demo,True,31,0,,https://x.com/sidneycur/status/2101611835594354958
2101041087435378855,B,"benchmark, test, shadow run or one-off job (often on production data)",classification_routing_triage,classification_routing_triage,measured_demo,False,27,0,,https://x.com/mihai_respira/status/2101041087435378855
