id,model_evidence,primary_evidence,audit_evidence,holds,audit_family,audit_realtime,views,title,url,note
2100468943853085061,measured_production,measured_production,measured_production,1,classification_routing_triage,0,62200,,https://x.com/kunchenguid/status/2100468943853085061,
2100833556469833867,measured_production,measured_production,measured_production,1,other_or_meta,0,9811,,https://x.com/waynesutton/status/2100833556469833867,
2100907300932219347,measured_production,measured_production,demo_no_numbers,0,live_chat_streams_events,1,3172,,https://x.com/iam4x/status/2100907300932219347,
2100996125272740219,measured_production,measured_production,measured_demo,0,agent_harness_and_tool_gating,0,61,,https://x.com/alviso/status/2100996125272740219,
2101000072062222802,measured_production,measured_production,measured_production,1,agent_harness_and_tool_gating,0,81,,https://x.com/geisbruch/status/2101000072062222802,
2101315927593648436,measured_production,measured_production,measured_production,1,other_or_meta,0,347,,https://x.com/FloRyRy410/status/2101315927593648436,
2101322376159822333,measured_production,measured_production,measured_demo,0,classification_routing_triage,0,58,,https://x.com/alexzender/status/2101322376159822333,
2101607957083435427,measured_production,measured_production,measured_production,1,search_rerank_extraction,0,6,,https://x.com/EduardGotm84172/status/2101607957083435427,
2101663804492787715,measured_production,measured_production,measured_production,1,classification_routing_triage,0,23,,https://x.com/lucian_fialho/status/2101663804492787715,
2101794949192659273,measured_production,measured_production,demo_no_numbers,0,other_or_meta,0,1038,,https://x.com/BLUECOW009/status/2101794949192659273,
2101929123526385998,measured_production,measured_production,measured_demo,0,search_rerank_extraction,0,11,,https://x.com/aiflipmonkey/status/2101929123526385998,
2102199555706024144,measured_production,measured_production,measured_production,1,other_or_meta,0,1992,,https://x.com/robherley/status/2102199555706024144,
2102243060189147353,measured_production,measured_production,measured_demo,0,classification_routing_triage,0,16,,https://x.com/JackSk35800/status/2102243060189147353,
2102633943891857663,measured_production,measured_production,measured_production,1,search_rerank_extraction,0,7,,https://x.com/babokim/status/2102633943891857663,
2102818524624269524,measured_production,measured_production,measured_demo,0,classification_routing_triage,0,19,,https://x.com/maelcaldas/status/2102818524624269524,
