family,2026-09-16,2026-09-17,2026-09-18,2026-09-19,2026-09-20,2026-09-21,2026-09-22,2026-09-23
other_or_meta,29,127,212,264,234,210,165,46
games_control_loops_simulation,24,180,189,184,172,178,119,28
classification_routing_triage,15,114,135,164,148,129,91,30
agent_harness_and_tool_gating,9,60,85,79,81,76,58,22
search_rerank_extraction,3,49,80,77,78,94,63,24
evals_and_judging,2,46,69,48,62,53,30,7
moderation_and_guardrails,5,46,56,64,54,53,25,14
data_and_telemetry,2,26,50,62,54,46,31,9
trading_and_markets,2,40,28,35,35,57,48,18
browser_and_computer_use,5,35,35,54,46,34,26,3
compaction_and_context,1,3,21,14,16,9,9,1
collaboration_and_typing,1,10,10,6,9,17,5,4
live_chat_streams_events,0,9,15,10,10,8,6,2
voice_and_turn_taking,0,5,8,11,7,12,3,0
**all**,98,750,993,1072,1006,976,679,208
